provider_id,category,proxy_relevance,test_review_count,mean_test_rating,mean_actual_credibility,actual_fake_review_rate
P00992,Carpenters,0.5607,2,3.5,0.816,0
P00998,Carpenters,0.374,1,2,0.935,0
P01000,Carpenters,0.4596,1,3,0.766,0
P01001,Carpenters,0.8765,2,5,0.8765,0
P01002,Carpenters,0.728,1,4,0.91,0
P01003,Carpenters,0.6868,2,4,0.8585,0
P01005,Carpenters,0.5718,1,3,0.953,0
P01006,Carpenters,0.549,1,3,0.915,0
P01007,Carpenters,0.36048,5,2,0.866,0.2
P01008,Carpenters,0.0968,1,1,0.484,1
P01009,Carpenters,0.6456,1,4,0.807,0
P01010,Carpenters,0.921,1,5,0.921,0
P01011,Carpenters,0.593,2,3.5,0.797,0
P01012,Carpenters,0.4267,2,2.5,0.7625,0.5
P01015,Carpenters,0.447,1,5,0.447,1
P01016,Carpenters,0.071,1,1,0.355,1
P01017,Carpenters,0.4576,3,2.666666667,0.844,0
P01021,Carpenters,0.6472,2,3.5,0.9265,0
P01022,Carpenters,0.924,1,5,0.924,0
P01023,Carpenters,0.6445333333,3,3.666666667,0.8906666667,0
P01024,Carpenters,0.7176,1,4,0.897,0
P01025,Carpenters,0.64,1,5,0.64,1
P01026,Carpenters,0.3692,1,2,0.923,0
P01027,Carpenters,0.3624,1,2,0.906,0
P01030,Carpenters,0.6433,2,3.5,0.916,0
P01035,Carpenters,0.5696,1,4,0.712,0
P01037,Carpenters,0.732,1,4,0.915,0
P01038,Carpenters,0.5819333333,3,3.333333333,0.8606666667,0
P01039,Carpenters,0.5064,2,4,0.633,0.5
P01041,Carpenters,0.913,1,5,0.913,0
P01042,Carpenters,0.711,1,5,0.711,0
P01043,Carpenters,0.7384,1,4,0.923,0
P01044,Carpenters,0.6925,2,4,0.8705,0
P01045,Carpenters,0.7387333333,3,4,0.9276666667,0
P01048,Carpenters,0.5529,2,3,0.9215,0
P01049,Carpenters,0.3608,1,4,0.451,1
P01053,Carpenters,0.75,2,4,0.9375,0
P01054,Carpenters,0.5598,1,3,0.933,0
P01057,Carpenters,0.4627,2,2.5,0.9215,0
P01059,Carpenters,0.937,1,5,0.937,0
P01060,Carpenters,0.439,1,5,0.439,1
P01063,Carpenters,0.4442,2,2.5,0.8825,0
P01065,Carpenters,0.332,1,2,0.83,0
P01069,Carpenters,0.7608,1,4,0.951,0
P01071,Carpenters,0.7112,1,4,0.889,0
P09284,Ceiling,0.942,1,5,0.942,0
P09285,Ceiling,0.5586,1,3,0.931,0
P09287,Ceiling,0.2904,1,2,0.726,0
P09288,Ceiling,0.5646,1,3,0.941,0
P09291,Ceiling,0.295,1,5,0.295,1
P09292,Ceiling,0.1784,1,1,0.892,0
P09293,Ceiling,0.7408,1,4,0.926,0
P09294,Ceiling,0.6273,2,3.5,0.896,0
P09295,Ceiling,0.5894,2,3.5,0.829,0
P09298,Ceiling,0.5943,2,4.5,0.689,0.5
P09300,Ceiling,0.7088,1,4,0.886,0
P09305,Ceiling,0.3656,2,3.5,0.489,0.5
P09307,Ceiling,0.6107,2,3.5,0.83,0
P09311,Ceiling,0.941,1,5,0.941,0
P09312,Ceiling,0.6636,2,4,0.8295,0
P09313,Ceiling,0.4985333333,3,4,0.6816666667,0.3333333333
P09314,Ceiling,0.5364,1,3,0.894,0
P09315,Ceiling,0.6574,2,3.5,0.9375,0
P09316,Ceiling,0.744,1,4,0.93,0
P09319,Ceiling,0.727,2,4.5,0.8215,0
P09320,Ceiling,0.5352,1,3,0.892,0
P09322,Ceiling,0.113,1,1,0.565,1
P09325,Ceiling,0.5724,1,3,0.954,0
P09331,Ceiling,0.3652,1,2,0.913,0
P09332,Ceiling,0.4264,1,4,0.533,1
P09335,Ceiling,0.4355333333,3,3.333333333,0.6533333333,0.3333333333
P09338,Ceiling,0.378,1,2,0.945,0
P09340,Ceiling,0.7192,1,4,0.899,0
P09342,Ceiling,0.5738,2,4,0.753,0.5
P09343,Ceiling,0.7328,1,4,0.916,0
P09345,Ceiling,0.4452666667,3,3.333333333,0.712,0.3333333333
P09346,Ceiling,0.4882,2,3,0.8445,0
P09347,Ceiling,0.364,1,2,0.91,0
P09350,Ceiling,0.6535,2,3.5,0.928,0
P09352,Ceiling,0.5544,1,3,0.924,0
P09353,Ceiling,0.38,1,2,0.95,0
P09354,Ceiling,0.57,1,3,0.95,0
P09355,Ceiling,0.7496,1,4,0.937,0
P09356,Ceiling,0.7248,1,4,0.906,0
P09357,Ceiling,0.4314,1,3,0.719,0
P09358,Ceiling,0.6194,2,4,0.799,0
P09359,Ceiling,0.6888666667,3,4.333333333,0.8126666667,0
P09360,Ceiling,0.694,1,5,0.694,0
P09361,Ceiling,0.5712,1,3,0.952,0
P09363,Ceiling,0.473,2,2.5,0.944,0
P09365,Ceiling,0.927,1,5,0.927,0
P09367,Ceiling,0.4962,1,3,0.827,0
P09372,Ceiling,0.056,1,1,0.28,1
P09373,Ceiling,0.59224,5,3.8,0.7884,0.2
P09374,Ceiling,0.7584,1,4,0.948,0
P09375,Ceiling,0.909,1,5,0.909,0
P09376,Ceiling,0.3712,1,2,0.928,0
P09378,Ceiling,0.922,1,5,0.922,0
P09382,Ceiling,0.552,1,3,0.92,0
P09384,Ceiling,0.7224,1,4,0.903,0
P09386,Ceiling,0.4116,2,2.5,0.675,0.5
P09389,Ceiling,0.564,1,3,0.94,0
P09391,Ceiling,0.3378,1,3,0.563,1
P09393,Ceiling,0.185,1,1,0.925,0
P09394,Ceiling,0.5352,1,3,0.892,0
P09397,Ceiling,0.1804,1,1,0.902,0
P09399,Ceiling,0.5664,1,3,0.944,0
P09400,Ceiling,0.36,1,2,0.9,0
P09411,Ceiling,0.2363,2,3.5,0.503,0.5
P09412,Ceiling,0.7128,1,4,0.891,0
P09413,Ceiling,0.5664,1,3,0.944,0
P09414,Ceiling,0.6292,2,3.5,0.8975,0
P09419,Ceiling,0.887,1,5,0.887,0
P09422,Ceiling,0.4887,2,3,0.8145,0
P09423,Ceiling,0.748,2,4,0.934,0
P09425,Ceiling,0.368,1,2,0.92,0
P09427,Ceiling,0.671,1,5,0.671,0
P09429,Ceiling,0.7624,1,4,0.953,0
P09432,Ceiling,0.537,1,3,0.895,0
P09433,Ceiling,0.644,2,3.5,0.9195,0
P09435,Ceiling,0.712,1,4,0.89,0
P09438,Ceiling,0.2581,2,3,0.6205,0.5
P09439,Ceiling,0.2908,2,2,0.565,0.5
P09444,Ceiling,0.5562,1,3,0.927,0
P09445,Ceiling,0.551,1,5,0.551,1
P09447,Ceiling,0.3344,1,2,0.836,0
P09450,Ceiling,0.912,1,5,0.912,0
P09453,Ceiling,0.5511,2,3,0.9185,0
P09458,Ceiling,0.911,1,5,0.911,0
P09460,Ceiling,0.1342,1,1,0.671,1
P09461,Ceiling,0.3756,1,2,0.939,0
P09463,Ceiling,0.5856,1,4,0.732,0
P09465,Ceiling,0.919,1,5,0.919,0
P09466,Ceiling,0.7544,1,4,0.943,0
P09467,Ceiling,0.912,1,5,0.912,0
P09468,Ceiling,0.4986,1,3,0.831,0
P09471,Ceiling,0.6128,1,4,0.766,0
P09472,Ceiling,0.8238,2,4.5,0.9155,0
P09474,Ceiling,0.7256,1,4,0.907,0
P09476,Ceiling,0.4276,3,3.666666667,0.641,0.3333333333
P09480,Ceiling,0.7152,1,4,0.894,0
P09481,Ceiling,0.4753333333,3,3,0.6766666667,0.3333333333
P09486,Ceiling,0.4282,2,2.5,0.835,0
P09487,Ceiling,0.5382,1,3,0.897,0
P09492,Ceiling,0.47025,4,2.75,0.7685,0.25
P09493,Ceiling,0.3664,1,2,0.916,0
P09494,Ceiling,0.4848,2,4,0.664,0.5
P09496,Ceiling,0.7224,1,4,0.903,0
P09500,Ceiling,0.4208,2,2.5,0.7195,0.5
P09502,Ceiling,0.901,1,5,0.901,0
P09503,Ceiling,0.3416,1,2,0.854,0
P09507,Ceiling,0.919,1,5,0.919,0
P09508,Ceiling,0.6472,2,3.5,0.913,0
P09511,Ceiling,0.623,1,5,0.623,1
P09513,Ceiling,0.3748,1,2,0.937,0
P09514,Ceiling,0.89,1,5,0.89,0
P09515,Ceiling,0.6079,4,3.25,0.9305,0
P09517,Ceiling,0.4804,2,3,0.8225,0
P09518,Ceiling,0.6599,2,3.5,0.9455,0
P09519,Ceiling,0.6992,3,4,0.874,0
P09521,Ceiling,0.534,1,3,0.89,0
P09522,Ceiling,0.1878,1,3,0.313,1
P09525,Ceiling,0.5888,1,4,0.736,0
P09527,Ceiling,0.6261333333,3,3.333333333,0.939,0
P09528,Ceiling,0.4547333333,3,2.666666667,0.859,0
P09532,Ceiling,0.543,1,3,0.905,0
P09533,Ceiling,0.5776,1,4,0.722,0
P09534,Ceiling,0.3564,2,2,0.891,0
P09538,Ceiling,0.5694,1,3,0.949,0
P09539,Ceiling,0.7444,2,4,0.9305,0
P09540,Ceiling,0.4932,1,3,0.822,0
P09543,Ceiling,0.372,1,3,0.62,1
P09544,Ceiling,0.5,2,3,0.8045,0
P09545,Ceiling,0.4624,1,4,0.578,1
P09546,Ceiling,0.488,1,5,0.488,1
P09550,Ceiling,0.642,2,3.5,0.924,0
P09551,Ceiling,0.0554,2,1,0.277,1
P09552,Ceiling,0.4792666667,3,2.666666667,0.8803333333,0
P09553,Ceiling,0.4747,2,4,0.6265,0.5
P09558,Ceiling,0.5334,1,3,0.889,0
P09560,Ceiling,0.918,1,5,0.918,0
P09561,Ceiling,0.617,2,5,0.617,1
P09562,Ceiling,0.7136,1,4,0.892,0
P09563,Ceiling,0.3812,1,2,0.953,0
P09565,Ceiling,0.7128,1,4,0.891,0
P09574,Ceiling,0.3764,1,2,0.941,0
P09576,Ceiling,0.934,1,5,0.934,0
P09577,Ceiling,0.5388,1,3,0.898,0
P09580,Ceiling,0.94,1,5,0.94,0
P09582,Ceiling,0.5816,3,3.333333333,0.714,0.3333333333
P09583,Ceiling,0.748,1,4,0.935,0
P09586,Ceiling,0.196,1,5,0.196,1
P09589,Ceiling,0.5433,2,3,0.9055,0
P09590,Ceiling,0.159,1,5,0.159,1
P09591,Ceiling,0.6652,2,3.5,0.9475,0
P09594,Ceiling,0.3768,1,4,0.471,1
P09595,Ceiling,0.0838,1,1,0.419,1
P09596,Ceiling,0.567,1,3,0.945,0
P09597,Ceiling,0.5108,2,3,0.829,0
P09598,Ceiling,0.3997,2,3,0.5785,0.5
P09599,Ceiling,0.5699333333,3,3.333333333,0.8506666667,0
P09601,Ceiling,0.4404,1,3,0.734,0
P09602,Ceiling,0.72,1,5,0.72,0
P09607,Ceiling,0.7158,2,4,0.894,0
P09609,Ceiling,0.7456,1,4,0.932,0
P09610,Ceiling,0.74,1,4,0.925,0
P09611,Ceiling,0.5118,3,3,0.736,0.3333333333
P09614,Ceiling,0.744,1,4,0.93,0
P09615,Ceiling,0.3966,2,3,0.661,0.5
P09616,Ceiling,0.3704,1,2,0.926,0
P09619,Ceiling,0.7424,1,4,0.928,0
P09620,Ceiling,0.7296,1,4,0.912,0
P09622,Ceiling,0.4788666667,3,3,0.8543333333,0
P09623,Ceiling,0.24,1,5,0.24,1
P09626,Ceiling,0.228,1,5,0.228,1
P09627,Ceiling,0.54,1,5,0.54,1
P09628,Ceiling,0.6672,1,4,0.834,0
P09629,Ceiling,0.5352,1,3,0.892,0
P09630,Ceiling,0.7384,1,4,0.923,0
P09632,Ceiling,0.756,1,4,0.945,0
P09633,Ceiling,0.6802,2,4,0.833,0
P09635,Ceiling,0.4571,2,2.5,0.916,0
P09639,Ceiling,0.888,1,5,0.888,0
P05714,Cleaners,0.7592,2,4,0.95,0
P05715,Cleaners,0.5992,1,4,0.749,0
P05719,Cleaners,0.6607,2,3.5,0.943,0
P05720,Cleaners,0.675,1,5,0.675,0
P05721,Cleaners,0.3117,2,2,0.6295,0.5
P05723,Cleaners,0.6887,2,4,0.8515,0
P05725,Cleaners,0.5526,1,3,0.921,0
P05728,Cleaners,0.0634,1,1,0.317,1
P05738,Cleaners,0.7318,2,4,0.909,0
P05739,Cleaners,0.694,1,5,0.694,0
P05743,Cleaners,0.7392,1,4,0.924,0
P05744,Cleaners,0.5666,2,3,0.94,0
P05746,Cleaners,0.3728,1,2,0.932,0
P05747,Cleaners,0.4544,1,4,0.568,1
P05748,Cleaners,0.7376,1,4,0.922,0
P05752,Cleaners,0.3796,1,2,0.949,0
P05753,Cleaners,0.7403333333,3,4,0.928,0
P05754,Cleaners,0.358,1,2,0.895,0
P05760,Cleaners,0.3636,1,2,0.909,0
P05763,Cleaners,0.5574,1,3,0.929,0
P05767,Cleaners,0.362,1,2,0.905,0
P05768,Cleaners,0.4791,2,4.5,0.5425,0.5
P05770,Cleaners,0.914,1,5,0.914,0
P05771,Cleaners,0.7556,2,4,0.9445,0
P05773,Cleaners,0.552,1,3,0.92,0
P05774,Cleaners,0.3808,1,2,0.952,0
P05775,Cleaners,0.923,1,5,0.923,0
P05776,Cleaners,0.904,1,5,0.904,0
P05777,Cleaners,0.11,1,5,0.11,1
P05778,Cleaners,0.4992,1,4,0.624,0
P05779,Cleaners,0.5136,2,3,0.856,0
P05780,Cleaners,0.7192,1,4,0.899,0
P05781,Cleaners,0.2560666667,3,2.666666667,0.5613333333,0.6666666667
P05783,Cleaners,0.937,1,5,0.937,0
P05784,Cleaners,0.0838,1,1,0.419,1
P05786,Cleaners,0.5628,1,3,0.938,0
P05788,Cleaners,0.685,1,5,0.685,0
P05789,Cleaners,0.744,1,4,0.93,0
P05790,Cleaners,0.887,1,5,0.887,0
P05793,Cleaners,0.909,1,5,0.909,0
P05794,Cleaners,0.934,1,5,0.934,0
P05796,Cleaners,0.9175,2,5,0.9175,0
P05798,Cleaners,0.52,3,3,0.762,0.3333333333
P05800,Cleaners,0.3732,1,2,0.933,0
P05801,Cleaners,0.364,1,2,0.91,0
P05803,Cleaners,0.5351333333,3,3,0.8713333333,0
P05809,Cleaners,0.495,1,3,0.825,0
P05811,Cleaners,0.6411,2,3.5,0.9125,0
P05812,Cleaners,0.889,1,5,0.889,0
P05813,Cleaners,0.7416,1,4,0.927,0
P05816,Cleaners,0.691,1,5,0.691,0
P05817,Cleaners,0.7532,2,4.5,0.8255,0
P05818,Cleaners,0.6332,2,4,0.7915,0.5
P05821,Cleaners,0.4864,1,4,0.608,0
P05822,Cleaners,0.7747,2,4.5,0.852,0
P05823,Cleaners,0.7632,1,4,0.954,0
P05827,Cleaners,0.7176,1,4,0.897,0
P05829,Cleaners,0.7424,1,4,0.928,0
P05831,Cleaners,0.5446,2,3,0.9165,0
P05832,Cleaners,0.5608,2,3,0.933,0
P05835,Cleaners,0.0948,1,1,0.474,1
P05837,Cleaners,0.5724,1,3,0.954,0
P05838,Cleaners,0.926,1,5,0.926,0
P05839,Cleaners,0.555,2,3,0.921,0
P05840,Cleaners,0.0646,1,1,0.323,1
P05841,Cleaners,0.558,2,3,0.93,0
P05842,Cleaners,0.4833333333,3,2.666666667,0.9116666667,0
P05844,Cleaners,0.7496,1,4,0.937,0
P05846,Cleaners,0.3764,1,2,0.941,0
P05849,Cleaners,0.648,2,4,0.81,0
P05850,Cleaners,0.4643,2,2.5,0.923,0
P05852,Cleaners,0.4072,2,2.5,0.668,0.5
P05854,Cleaners,0.921,1,5,0.921,0
P05856,Cleaners,0.756,1,4,0.945,0
P05859,Cleaners,0.5328,1,3,0.888,0
P05862,Cleaners,0.234,1,5,0.234,1
P05863,Cleaners,0.67,3,4.333333333,0.7826666667,0
P05864,Cleaners,0.3796,1,2,0.949,0
P05865,Cleaners,0.7624,1,4,0.953,0
P05867,Cleaners,0.892,1,5,0.892,0
P05868,Cleaners,0.7128,1,4,0.891,0
P05869,Cleaners,0.7168,1,4,0.896,0
P05870,Cleaners,0.5175,2,3,0.6955,0.5
P05873,Cleaners,0.2996,1,2,0.749,0
P05877,Cleaners,0.5844,4,3.25,0.89,0
P05879,Cleaners,0.7226,2,4,0.888,0
P05881,Cleaners,0.944,1,5,0.944,0
P05882,Cleaners,0.6398,2,3.5,0.912,0
P05883,Cleaners,0.3596,1,2,0.899,0
P05887,Cleaners,0.6398666667,3,4.666666667,0.7026666667,0.3333333333
P05888,Cleaners,0.7156,2,4,0.8945,0
P05892,Cleaners,0.6456,2,3.5,0.9245,0
P05896,Cleaners,0.2944,1,2,0.736,0
P05898,Cleaners,0.5214,3,3,0.717,0.3333333333
P05900,Cleaners,0.5388,1,3,0.898,0
P05901,Cleaners,0.42,2,2.5,0.8185,0
P05902,Cleaners,0.893,1,5,0.893,0
P05904,Cleaners,0.0622,1,1,0.311,1
P05907,Cleaners,0.3584,1,2,0.896,0
P05908,Cleaners,0.562,2,3,0.933,0
P05909,Cleaners,0.5163,2,3,0.8605,0
P05910,Cleaners,0.7184,1,4,0.898,0
P05911,Cleaners,0.567,1,3,0.945,0
P05912,Cleaners,0.1414,1,1,0.707,0
P05916,Cleaners,0.7175,2,5,0.7175,0.5
P05919,Cleaners,0.947,1,5,0.947,0
P05921,Cleaners,0.3776,1,2,0.944,0
P05925,Cleaners,0.4661,2,2.5,0.934,0
P05926,Cleaners,0.6821333333,3,3.666666667,0.9276666667,0
P05928,Cleaners,0.6422,2,3.5,0.9185,0
P05930,Cleaners,0.508,1,5,0.508,1
P05931,Cleaners,0.7245333333,3,4,0.903,0
P05933,Cleaners,0.609,3,4.333333333,0.7183333333,0.3333333333
P05935,Cleaners,0.5418,1,3,0.903,0
P05936,Cleaners,0.57,1,3,0.95,0
P05938,Cleaners,0.318,1,2,0.795,0
P05939,Cleaners,0.7432,2,4,0.929,0
P05941,Cleaners,0.52435,4,3.5,0.76875,0.25
P05942,Cleaners,0.0564,1,1,0.282,1
P05943,Cleaners,0.7128,1,4,0.891,0
P05945,Cleaners,0.4757,2,3.5,0.6435,0.5
P05950,Cleaners,0.7096,1,4,0.887,0
P05951,Cleaners,0.8609333333,3,4.666666667,0.9216666667,0
P05952,Cleaners,0.7584,1,4,0.948,0
P05953,Cleaners,0.4844,2,4,0.6055,0.5
P05954,Cleaners,0.1192,1,1,0.596,1
P05955,Cleaners,0.7392,1,4,0.924,0
P05956,Cleaners,0.4192,2,3,0.682,0.5
P05958,Cleaners,0.5598,1,3,0.933,0
P05960,Cleaners,0.7492,2,4,0.9365,0
P05961,Cleaners,0.4036,2,2.5,0.824,0
P05962,Cleaners,0.465,2,2.5,0.927,0
P05964,Cleaners,0.5382,1,3,0.897,0
P05966,Cleaners,0.6010666667,3,3.333333333,0.9033333333,0
P05968,Cleaners,0.592,1,4,0.74,0
P05970,Cleaners,0.7592,1,4,0.949,0
P05975,Cleaners,0.5382,1,3,0.897,0
P05976,Cleaners,0.51405,4,2.75,0.93225,0
P05981,Cleaners,0.7192,1,4,0.899,0
P05982,Cleaners,0.7528,1,4,0.941,0
P05983,Cleaners,0.3624,1,2,0.906,0
P05985,Cleaners,0.444,1,3,0.74,0
P05986,Cleaners,0.7795,2,5,0.7795,0
P05987,Cleaners,0.73,2,4,0.9125,0
P05990,Cleaners,0.8472,2,4.5,0.94,0
P05993,Cleaners,0.537,1,3,0.895,0
P05995,Cleaners,0.721,1,5,0.721,1
P05997,Cleaners,0.3644,1,2,0.911,0
P05998,Cleaners,0.8269,2,4.5,0.918,0
P06000,Cleaners,0.725,2,4,0.89,0
P06004,Cleaners,0.948,1,5,0.948,0
P06007,Cleaners,0.7275,2,4,0.9145,0
P06010,Cleaners,0.5914,2,3.5,0.8665,0
P06013,Cleaners,0.72,1,4,0.9,0
P06014,Cleaners,0.191,1,5,0.191,1
P06017,Cleaners,0.54,1,3,0.9,0
P06019,Cleaners,0.475,2,3,0.816,0
P06021,Cleaners,0.6544,2,3.5,0.932,0
P06022,Cleaners,0.7592,1,4,0.949,0
P06025,Cleaners,0.91,1,5,0.91,0
P06026,Cleaners,0.7536,1,4,0.942,0
P06029,Cleaners,0.6716,3,3.666666667,0.9176666667,0
P06033,Cleaners,0.3796,1,2,0.949,0
P06034,Cleaners,0.6398,2,3.5,0.9105,0
P06037,Cleaners,0.3724,2,2,0.921,0
P06038,Cleaners,0.0748,1,1,0.374,1
P06039,Cleaners,0.931,1,5,0.931,0
P06041,Cleaners,0.1514,2,2,0.352,1
P06042,Cleaners,0.2168,1,4,0.271,1
P06044,Cleaners,0.51,2,3,0.85,0
P06046,Cleaners,0.4148,2,2.5,0.688,0.5
P06047,Cleaners,0.6088,1,4,0.761,0
P06050,Cleaners,0.912,1,5,0.912,0
P06051,Cleaners,0.5991333333,3,3.333333333,0.899,0
P06054,Cleaners,0.756,2,4,0.945,0
P06056,Cleaners,0.3708,1,2,0.927,0
P06058,Cleaners,0.7144,1,4,0.893,0
P06059,Cleaners,0.5562,2,3,0.9175,0
P06060,Cleaners,0.4679333333,3,2.666666667,0.859,0
P06062,Cleaners,0.7224,1,4,0.903,0
P06065,Cleaners,0.0572,2,1,0.286,1
P06067,Cleaners,0.558,1,3,0.93,0
P06068,Cleaners,0.7544,1,4,0.943,0
P08569,Cushion Works,0.3776,1,2,0.944,0
P08570,Cushion Works,0.134,1,2,0.335,1
P08571,Cushion Works,0.7184,1,4,0.898,0
P08573,Cushion Works,0.5643,2,4.5,0.6555,0.5
P08574,Cushion Works,0.6577333333,3,4,0.83,0
P08575,Cushion Works,0.549,3,3,0.9183333333,0
P08578,Cushion Works,0.732,1,4,0.915,0
P08581,Cushion Works,0.5634,1,3,0.939,0
P08582,Cushion Works,0.7136,1,4,0.892,0
P08586,Cushion Works,0.928,1,5,0.928,0
P08588,Cushion Works,0.747,1,5,0.747,1
P08591,Cushion Works,0.725,1,5,0.725,0
P08592,Cushion Works,0.5532,1,3,0.922,0
P08593,Cushion Works,0.3792,1,2,0.948,0
P08596,Cushion Works,0.891,1,5,0.891,0
P08598,Cushion Works,0.67,1,5,0.67,0
P08599,Cushion Works,0.928,1,5,0.928,0
P08600,Cushion Works,0.5688,1,3,0.948,0
P08601,Cushion Works,0.4356,1,3,0.726,0
P08602,Cushion Works,0.352,1,5,0.352,1
P08604,Cushion Works,0.695,1,5,0.695,0
P08606,Cushion Works,0.921,1,5,0.921,0
P08607,Cushion Works,0.951,1,5,0.951,0
P08614,Cushion Works,0.5616,1,3,0.936,0
P08615,Cushion Works,0.5724,1,3,0.954,0
P08616,Cushion Works,0.6544,2,4,0.818,0
P08617,Cushion Works,0.522,2,5,0.522,0.5
P08618,Cushion Works,0.708,1,4,0.885,0
P08622,Cushion Works,0.3791,2,4,0.5575,0.5
P08625,Cushion Works,0.455,2,2.5,0.9085,0
P08626,Cushion Works,0.4946,3,4.666666667,0.5493333333,0.3333333333
P08628,Cushion Works,0.5472,1,3,0.912,0
P08629,Cushion Works,0.736,1,4,0.92,0
P08630,Cushion Works,0.5502,1,3,0.917,0
P08634,Cushion Works,0.4464,1,3,0.744,0
P08635,Cushion Works,0.7232,1,4,0.904,0
P08636,Cushion Works,0.6416,1,4,0.802,0
P08637,Cushion Works,0.2964,2,3,0.494,1
P08639,Cushion Works,0.908,1,5,0.908,0
P08641,Cushion Works,0.7176,1,4,0.897,0
P08642,Cushion Works,0.7384,1,4,0.923,0
P08643,Cushion Works,0.255,2,3,0.429,1
P08646,Cushion Works,0.3704,1,2,0.926,0
P08648,Cushion Works,0.6087,2,4,0.7925,0
P08650,Cushion Works,0.4626,1,3,0.771,0
P08652,Cushion Works,0.5984,2,3.5,0.8395,0
P08653,Cushion Works,0.2784,1,3,0.464,1
P08654,Cushion Works,0.7288,2,4,0.911,0
P08655,Cushion Works,0.7464,2,4,0.933,0
P08656,Cushion Works,0.937,1,5,0.937,0
P08659,Cushion Works,0.946,1,5,0.946,0
P08660,Cushion Works,0.4944,1,4,0.618,1
P08661,Cushion Works,0.905,1,5,0.905,0
P08663,Cushion Works,0.7608,1,4,0.951,0
P08664,Cushion Works,0.7104,1,4,0.888,0
P08665,Cushion Works,0.404,1,4,0.505,1
P08667,Cushion Works,0.954,1,5,0.954,0
P08671,Cushion Works,0.3552,1,2,0.888,0
P08672,Cushion Works,0.4478,2,4.5,0.5225,0.5
P08673,Cushion Works,0.4898,2,3,0.587,0.5
P08674,Cushion Works,0.3703,2,4,0.5535,0.5
P08676,Cushion Works,0.1448,1,1,0.724,1
P08677,Cushion Works,0.944,1,5,0.944,0
P08678,Cushion Works,0.6464,2,4.5,0.7375,0.5
P08679,Cushion Works,0.4476,1,3,0.746,0
P08680,Cushion Works,0.7424,2,4,0.928,0
P08681,Cushion Works,0.6152,1,4,0.769,0
P08682,Cushion Works,0.712,1,4,0.89,0
P08684,Cushion Works,0.3076,1,2,0.769,0
P08686,Cushion Works,0.497,3,3.666666667,0.5676666667,0.6666666667
P08688,Cushion Works,0.3544,1,2,0.886,0
P08689,Cushion Works,0.5592,1,3,0.932,0
P08691,Cushion Works,0.939,1,5,0.939,0
P08693,Cushion Works,0.5944,1,4,0.743,0
P08696,Cushion Works,0.5604,1,3,0.934,0
P08699,Cushion Works,0.3748,1,2,0.937,0
P08701,Cushion Works,0.6547,2,4.5,0.75,0.5
P08705,Cushion Works,0.904,1,5,0.904,0
P08706,Cushion Works,0.7192,1,4,0.899,0
P08710,Cushion Works,0.414,1,5,0.414,1
P08711,Cushion Works,0.3356,1,2,0.839,0
P08712,Cushion Works,0.7184,1,4,0.898,0
P08713,Cushion Works,0.355,1,5,0.355,1
P08714,Cushion Works,0.7608,1,4,0.951,0
P08715,Cushion Works,0.5984,2,4.5,0.691,0.5
P08718,Cushion Works,0.3636,1,2,0.909,0
P08720,Cushion Works,0.756,1,4,0.945,0
P08722,Cushion Works,0.5538,1,3,0.923,0
P08724,Cushion Works,0.153,1,1,0.765,1
P08726,Cushion Works,0.5634,1,3,0.939,0
P08729,Cushion Works,0.4452,1,3,0.742,0
P08732,Cushion Works,0.5418,1,3,0.903,0
P08734,Cushion Works,0.3615,2,4,0.5445,0.5
P08735,Cushion Works,0.7396,2,4,0.9245,0
P08736,Cushion Works,0.28,3,1.666666667,0.7886666667,0.3333333333
P08738,Cushion Works,0.5729,2,3.5,0.806,0
P08746,Cushion Works,0.736,1,4,0.92,0
P08747,Cushion Works,0.3732,1,2,0.933,0
P08751,Cushion Works,0.5902666667,3,3.666666667,0.838,0
P08753,Cushion Works,0.5768,1,4,0.721,0
P08757,Cushion Works,0.8177333333,3,4.666666667,0.868,0
P08758,Cushion Works,0.338,1,5,0.338,1
P08761,Cushion Works,0.4856,2,3,0.763,0
P08762,Cushion Works,0.4131,2,3,0.6885,0.5
P08763,Cushion Works,0.5968,1,4,0.746,0
P08764,Cushion Works,0.4114,2,4.5,0.483,0.5
P08767,Cushion Works,0.4416,1,3,0.736,0
P08772,Cushion Works,0.5331,2,4.5,0.5835,1
P08774,Cushion Works,0.5694,1,3,0.949,0
P08777,Cushion Works,0.6264,2,3.5,0.8955,0
P08779,Cushion Works,0.7436,3,4.333333333,0.8533333333,0
P08783,Cushion Works,0.4144,2,2.5,0.686,0.5
P08784,Cushion Works,0.3879,2,2.5,0.6075,0.5
P08786,Cushion Works,0.7592,1,4,0.949,0
P08787,Cushion Works,0.3648,2,2,0.912,0
P08789,Cushion Works,0.4853333333,3,3.333333333,0.7083333333,0.3333333333
P08791,Cushion Works,0.5586,1,3,0.931,0
P08793,Cushion Works,0.8264,2,4.5,0.9195,0
P08794,Cushion Works,0.517,2,3,0.683,0.5
P08796,Cushion Works,0.674,1,5,0.674,0
P08797,Cushion Works,0.5418,1,3,0.903,0
P08798,Cushion Works,0.5544,1,3,0.924,0
P08799,Cushion Works,0.0414,1,1,0.207,1
P08800,Cushion Works,0.7568,1,4,0.946,0
P08802,Cushion Works,0.6184666667,3,4,0.7943333333,0
P08803,Cushion Works,0.94,1,5,0.94,0
P08805,Cushion Works,0.6072,1,4,0.759,0
P08806,Cushion Works,0.5616,1,3,0.936,0
